q,CENSUS BLOCK,NUMBER OF LIQUOR LICENSES,NUMBER OF CRIMES,NUMBER OF ARRESTS
1297,019XX S INDIANA,9,199,18
1300,019XX S MICHIGAN,7,186,24
1302,019XX S STATE,19,350,52
1321,019XX W FULTON,1,138,27
1325,019XX W LAKE,3,444,209
1361,020XX S WABASH,4,205,36
1380,020XX W FULTON,3,195,24
1383,020XX W MADISON,9,298,133
1407,021XX S INDIANA,8,294,39
1410,021XX S MICHIGAN,2,730,132
1412,021XX S PRAIRIE,7,123,12
1413,021XX S STATE,25,747,437
1456,022XX S MICHIGAN,14,363,52
1458,022XX S STATE,8,3378,2209
1472,022XX W TAYLOR,5,236,31
1474,022XX W WALNUT,3,106,12
1490,023XX S INDIANA,12,120,34
1494,023XX S MICHIGAN,9,437,87
1510,023XX W HARRISON,6,400,49
1515,023XX W MADISON,5,1684,1193
1541,024XX S MICHIGAN,3,191,30
1545,024XX S STATE,4,1898,1195
1551,024XX W 14TH,1,32,6
1561,024XX W JACKSON,7,568,281
1563,024XX W MADISON,8,800,320
1597,025XX S WABASH,3,90,12
1615,025XX W MADISON,7,496,356
1651,026XX W MADISON,12,245,217
