RestaurantName,Sentiment Labels,Review Rating
The Green at Grant Park,Positive: 0.7333333333333333 Negative: 0.26666666666666666,4
Ronny's Original Steakhouse,Positive: 0.2 Negative: 0.8,4
Burrito Beach,Positive: 0.14285714285714285 Negative: 0.8571428571428571,3
Bella Bacino's,Positive: 0.47619047619047616 Negative: 0.5238095238095238,4
BB's,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Buen Apetito,Positive: 0.42857142857142855 Negative: 0.5714285714285714,4
Trattoria Caterina,Positive: 0.2631578947368421 Negative: 0.7368421052631579,3
Beef and Brandy,Positive: 0.4074074074074074 Negative: 0.5925925925925926,3
Uncle Abe's Deli,Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Blackbird,Positive: 0.7405405405405405 Negative: 0.2594594594594595,4
Sopraffina Marketcaffe,Positive: 0.5714285714285714 Negative: 0.42857142857142855,4
Mezcalina,Positive: 0.0 Negative: 1.0,3
Flaco's Tacos,Positive: 0.5934065934065934 Negative: 0.4065934065934066,4
U.B. Dogs,Positive: 0.9 Negative: 0.1,5
Hot Woks Cool Sushi,Positive: 0.5 Negative: 0.5,4
Giordano's Pizzeria,Positive: 0.2857142857142857 Negative: 0.7142857142857143,4
Bodega N.5,Positive: 0.75 Negative: 0.25,4
Eleven City Diner,Positive: 0.52046783625731 Negative: 0.47953216374269003,4
Brasserie By LM,Positive: 0.5 Negative: 0.5,3
231 Cafe,Positive: 0.0 Negative: 1.0,4
Mr Submarine,Positive: 0.5294117647058824 Negative: 0.47058823529411764,4
Palmer House Conference Center 7,Positive: 0.5 Negative: 0.5,5
Jimmy John's,Positive: 0.2 Negative: 0.8,3
Pavilion Restaurant,Positive: 0.0 Negative: 1.0,2
Palm Restaurant,Positive: 0.5 Negative: 0.5,4
Faycurr's Urban Kitchen & Cafe,Positive: 0.0 Negative: 1.0,3
Cosi,Positive: 0.2 Negative: 0.8,3
Jason's Deli,Positive: 0.7777777777777778 Negative: 0.2222222222222222,4
Overflow Coffee Bar,Positive: 0.8235294117647058 Negative: 0.17647058823529413,5
Grillers,Positive: 0.5 Negative: 0.5,4
Alonti Cafe,Positive: 0.0 Negative: 1.0,3
Finkls Deli,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Arby's,Positive: 0.0 Negative: 1.0,3
